Row,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
AN,130.4291,130.0701,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,130.1132,129.6464,157.5302,128.9009,129.0149,90.30160000000001,50.609899999999996,45.012600000000006,64.113,119.4225,61.6537,50.104600000000005,34.5469,117.10049999999998,56.430699999999995,56.6389,128.7869,129.2599,120.3084,60.99579999999999,50.5175,50.3326,79.82329999999999,56.9684,57.350699999999996,79.67519999999999,41.176399999999994,127.069,128.9117,128.9117,128.9117,128.9117,128.9117,128.9117,128.9117,128.9117,128.9117,128.9117,128.9117,128.9117,128.9117,128.6128,128.9009,129.31380000000001,128.9117,128.9117,129.1998,129.189,129.189,129.189,128.9009,90.9758,129.8313,129.8744,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,129.8852
AO,129.6572,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.9992,129.6464,157.5302,129.31380000000001,129.9008,140.3172,151.77659999999997,130.688,136.2637,153.0924,134.9649,127.2431,145.691,154.54829999999998,145.56619999999998,127.5635,150.957,152.08169999999998,151.6796,135.6659,137.8767,150.7767,133.3888,138.94750000000002,152.71179999999998,150.66889999999998,127.86240000000001,129.12890000000002,128.9117,139.57309999999998,151.6796,152.3806,145.121,129.49869999999999,151.28829999999996,152.3914,152.2774,133.9327,129.2106,145.2458,152.4345,145.83280000000002,129.12890000000002,134.53050000000002,151.9893,151.69039999999998,134.4596,128.9009,129.189,129.189,128.9009,90.9758,129.8313,129.8744,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,129.8852
AP,130.8851,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.6464,157.6442,129.25369999999998,135.8724,208.6902,222.8226,186.5586,200.6479,221.69789999999998,191.3624,148.73999999999998,218.96479999999997,222.76869999999997,219.43779999999998,149.79379999999998,217.4658,222.8396,222.8396,191.7861,170.6266,222.5515,137.0752,208.67319999999998,223.18159999999997,223.18159999999997,169.1276,129.0149,128.9117,172.6973,222.76869999999997,222.46979999999996,220.02480000000003,150.20669999999998,219.0527,223.2417,223.76859999999996,191.3624,148.8648,218.498,223.8718,219.68280000000001,148.9788,190.7045,222.88269999999997,222.59459999999999,192.7043,130.0148,128.6128,128.9009,128.9009,90.9758,129.8313,129.8744,129.8852,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,129.8852
AQ,130.8851,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.6464,158.05710000000002,129.36769999999999,150.20669999999998,222.99669999999998,141.4115,215.47050000000002,177.3325,178.43560000000002,214.0685,150.1538,221.81189999999998,134.4014,222.46979999999996,146.1587,216.9928,178.3324,178.50650000000002,213.9545,149.5991,223.3557,132.8503,222.5021,140.8029,216.9865,172.5888,127.1291,128.9117,172.6973,222.76869999999997,135.11319999999998,222.87189999999998,148.1585,218.3347,177.96259999999998,179.03339999999997,215.5306,150.8548,222.88269999999997,134.99919999999997,222.99669999999998,148.1262,217.2639,176.96269999999998,179.56029999999998,214.4105,107.25410000000001,128.9117,128.9117,128.6128,90.9758,129.8313,129.8744,129.5863,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852
AR,130.8851,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.6464,158.05710000000002,129.36769999999999,150.5056,223.11069999999998,135.02249999999998,218.743,162.2415,189.33929999999998,213.1009,142.23,222.915,129.4099,223.3557,136.6911,218.62279999999998,162.78999999999996,193.72400000000002,213.5138,141.5012,223.6438,132.8503,223.5729,133.4356,219.61190000000002,163.19209999999998,125.42819999999999,128.9117,172.6973,222.18169999999998,135.6804,223.0568,137.68019999999999,218.45489999999998,161.95340000000002,195.0829,213.6987,142.6429,223.18159999999997,130.1648,222.58379999999997,138.2457,217.4488,171.045,169.74339999999998,176.36489999999998,98.1455,128.7268,128.95479999999998,129.0257,90.9758,129.8313,129.8744,129.9992,130.2981,130.2981,130.2981,130.2981,130.2981,130.2981,130.2981,129.8852
AS,130.8851,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.6464,158.05710000000002,129.36769999999999,150.80449999999996,223.3988,137.0932,219.32999999999998,162.5296,192.5948,213.3998,142.344,222.915,132.0784,222.88269999999997,136.99,218.7368,163.9039,218.12199999999999,167.9636,140.2733,223.6438,132.8503,223.5729,136.9191,218.9109,163.19209999999998,125.42819999999999,128.9117,172.6973,222.46979999999996,159.3065,218.24220000000003,93.90180000000001,218.62900000000002,164.06719999999999,218.16049999999998,166.36589999999998,141.63219999999998,223.18159999999997,132.9473,223.4589,136.9469,158.1575,209.753,189.0279,96.4222,107.43900000000001,128.6128,129.0149,128.7268,90.9758,129.8313,129.8744,129.9992,130.1132,130.1132,130.1132,130.1132,130.1132,130.1132,130.1132,129.8852
AT,130.8851,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.6464,158.05710000000002,129.36769999999999,149.8046,223.3988,136.2782,218.857,162.5296,193.1818,213.3998,142.344,222.74089999999998,189.84290000000001,222.7086,136.99,218.7368,163.3662,201.6801,215.54139999999998,159.59359999999998,223.6438,132.8503,223.5729,137.332,218.9109,163.19209999999998,125.42819999999999,128.9117,172.6973,223.0568,120.4459,222.46979999999996,157.4798,217.814,162.6652,201.5383,214.1394,160.89239999999998,223.18159999999997,133.24620000000002,223.4589,137.463,165.7977,121.7833,170.97409999999996,215.9821,121.031,128.9117,129.1998,128.6128,90.9758,129.8313,129.8744,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852
AU,130.8851,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.6464,158.05710000000002,129.36769999999999,149.8046,223.3988,135.6912,218.857,162.5296,193.1818,213.3998,142.344,223.143,212.6279,223.29559999999998,137.463,218.7368,162.76839999999999,192.66569999999996,213.34589999999997,142.116,223.0568,132.8503,223.5729,145.1032,219.61190000000002,163.19209999999998,125.42819999999999,128.9117,172.6973,222.9428,129.49609999999998,222.9859,136.65879999999999,218.92790000000002,162.6652,192.1218,212.9977,142.572,222.59459999999999,140.5614,222.459,137.8759,218.50879999999998,170.948,192.0123,213.62779999999998,102.1343,136.9863,130.5417,128.6128,90.9758,129.8313,129.8744,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852
AV,130.8851,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.6464,158.05710000000002,129.36769999999999,149.39170000000001,223.11069999999998,135.6912,218.857,162.5296,193.00769999999997,213.3998,142.344,222.8549,107.9696,222.07850000000002,136.99,219.0357,162.76839999999999,192.66569999999996,213.275,141.8171,223.0568,122.2921,212.1827,223.11069999999998,223.3988,124.4563,125.42819999999999,129.3246,172.6973,223.2417,158.55159999999998,219.655,99.798,218.04199999999997,162.6544,191.8337,213.41060000000002,123.1565,219.655,222.2526,220.2851,101.6129,196.80540000000002,221.7087,223.0075,174.778,140.23020000000002,221.7257,137.0276,129.0257,90.9758,129.8313,129.8744,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852
AW,130.8851,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.6464,157.94310000000002,129.36769999999999,136.24669999999998,107.4472,79.0927,121.312,76.2869,123.3136,98.11059999999999,102.77789999999999,103.13789999999999,94.32719999999999,105.0345,79.3916,120.19810000000001,75.5859,124.8358,98.39869999999999,102.70699999999998,102.29509999999999,86.56229999999998,102.49430000000001,103.2842,97.46969999999999,50.433099999999996,126.4281,129.1397,134.4408,103.1271,92.79240000000001,81.9335,72.97659999999999,120.72500000000001,75.5859,124.77569999999999,98.46959999999999,90.15079999999999,101.91629999999999,102.29509999999999,81.6176,72.8087,107.2353,101.1812,101.29520000000001,47.0187,124.06569999999999,101.66499999999999,86.0462,129.6558,91.67679999999999,129.8313,129.8744,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852
AX,130.8851,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.9453,141.0678,101.419,101.28069999999998,75.26450000000001,81.30249999999998,83.2484,74.1398,89.1123,72.78089999999999,89.58529999999999,73.55279999999999,87.50379999999998,75.10740000000001,79.4768,82.17759999999998,75.0365,88.9983,73.55279999999999,90.6391,76.7051,89.88419999999999,101.17750000000001,74.6775,76.759,97.5908,105.91669999999999,106.57459999999999,100.0744,74.71609999999998,82.77539999999999,78.0362,103.7212,82.6722,74.998,89.96589999999999,73.9334,96.0578,92.85159999999999,74.04740000000001,76.6019,103.74279999999999,104.8136,79.2704,75.6343,91.76999999999998,100.24849999999999,77.4061,90.48199999999999,112.7832,77.2187,129.8313,129.8744,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852
AY,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.7712,129.0702,129.0702,127.55420000000001,127.1521,127.1521,127.73910000000001,127.73910000000001,127.73910000000001,127.73910000000001,127.73910000000001,127.73910000000001,127.73910000000001,127.73910000000001,127.73910000000001,127.73910000000001,127.73910000000001,127.4402,160.01229999999998,162.75169999999997,151.9467,185.3355,137.9679,175.30700000000002,183.2047,186.357,184.7916,170.21499999999997,174.82319999999999,137.1421,128.26600000000002,150.84359999999998,190.17340000000002,186.90089999999998,154.38719999999998,175.60129999999998,190.2982,191.0593,154.68609999999998,187.3631,160.05089999999998,182.5037,153.0992,202.10309999999998,196.6844,185.00429999999997,169.8991,182.291,159.2682,168.84980000000002,129.8143,129.7003,128.4123,128.4123,128.4123,128.4123,129.11329999999998,130.4121,130.4121,130.4121,129.8852
AZ,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.7712,143.9565,157.2451,143.3587,157.31599999999997,139.74419999999998,150.2395,140.3913,152.56599999999997,152.1962,148.5108,153.9357,134.1684,130.2442,139.2065,144.2015,152.0391,146.9347,155.9355,150.8974,148.1796,139.02159999999998,150.01149999999998,137.3315,155.0604,145.7391,149.745,152.58759999999998,154.94639999999998,151.5383,142.6469,153.8047,141.0923,129.8852,129.9992,130.1132,129.9992,129.9992,129.9992,129.9992,130.4121,130.4121,130.4121,130.4121
BA,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,130.1841,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,130.1132,130.1132,130.1132,130.1132,130.1132,130.1132,129.9992,129.7111,130.5369,130.7819,130.238,130.3089,130.4938,130.124,130.1841,130.1841,130.1841,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852
BB,128.8853,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,130.1841,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.9992,130.2981,130.4121,130.4121,130.4121,130.1132,129.8852,130.1841,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852
BC,129.7712,129.7712,129.7712,129.7712,130.2442,130.2442,129.7712,129.7712,129.7712,129.7712,129.7712,129.7712,129.7712,129.7712,129.7712,129.7712,129.8852,129.8852,130.1841,130.1841,129.7577,129.552,129.8376,129.8852,129.8852,155.0818,137.5702,129.8852,129.8852,160.522,160.522,146.10879999999997,146.0271,131.95589999999999,162.2938,144.48329999999999,155.66879999999998,154.3808,161.8917,155.66879999999998,158.2341,158.18019999999999,145.9239,129.8852,129.8852,152.72299999999998,153.78300000000002,146.2937,160.3371,154.7937,151.84789999999998,163.6743,162.66359999999997,148.9837,130.4121,130.1132,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852
BD,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,129.7712,129.8852,130.4229,130.124,127.3357,145.46300000000002,124.23830000000001,129.896,130.7711,193.45749999999998,162.8808,129.8852,130.2981,203.28409999999997,172.615,169.0005,186.3595,171.3916,189.28379999999999,201.0393,167.2457,191.65339999999998,210.49609999999998,179.2785,195.01209999999998,195.5668,168.2887,129.7712,131.07,194.4744,197.8978,205.0775,190.46859999999998,214.7515,198.0504,216.719,203.8388,161.3047,130.4121,130.1132,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852
BE,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,129.7712,129.8852,130.4229,130.4229,133.62449999999998,146.2722,130.4399,130.0701,130.2873,131.2657,131.65699999999998,129.8852,130.2981,132.8526,130.7711,129.7281,131.0377,130.08089999999999,130.4938,129.6141,127.9671,130.1949,130.84199999999998,132.244,130.7711,129.7111,129.7111,129.2982,129.8852,130.1841,131.2549,131.4937,131.771,131.3366,130.31969999999998,131.74949999999998,130.4399,130.02700000000002,130.483,130.2981,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852
BF,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,129.7712,129.8852,130.4229,130.4229,130.4229,130.4121,130.597,130.2981,132.84179999999998,156.6795,147.4076,129.8852,130.4121,154.83679999999998,156.3806,141.0815,142.30939999999998,130.369,154.9077,139.41289999999998,150.0052,149.1794,155.50549999999998,155.7227,152.8478,156.7935,140.71169999999998,129.8852,129.8852,146.52169999999998,152.42409999999998,139.43449999999999,152.31009999999998,146.8807,141.80409999999998,154.9185,157.15249999999997,146.8098,130.1841,130.483,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852
BG,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,130.1302,129.7712,129.8852,130.4229,130.4229,130.4229,130.3089,130.4121,130.1132,145.0703,205.6106,179.3001,129.8852,130.8851,205.77849999999998,174.79970000000003,172.028,182.517,167.0931,190.94160000000002,201.6972,172.0989,194.16479999999999,209.69189999999998,171.8924,197.2785,194.496,170.46259999999998,129.9992,131.771,198.0396,191.94150000000002,204.3657,194.02300000000002,215.4202,204.2733,217.30599999999998,197.5666,154.1035,130.597,130.01,130.2981,129.9992,129.9992,129.9992,129.9992,129.9992,129.9992,129.9992,129.9992,129.9992,129.9992,129.9992,129.9992,129.9992,129.9992,129.9992
