Row,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
O,663.0,1083.0,1234.0,1150.0,1161.0,1144.0,543.0,836.0,1113.0,1136.0,1203.0,1137.0,557.0,815.0,1044.0,1129.0,1101.0,1217.0,703.0,1069.0,1150.0,1066.0,1066.0,1069.0
P,1899.0,1842.0,1836.0,1821.0,1812.0,1797.0,1733.0,1774.0,1792.0,1684.0,1855.0,1835.0,1667.0,1754.0,1804.0,1750.0,1691.0,1671.0,514.0,498.0,452.0,458.0,448.0,516.0
Row,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,420.0,477.0,418.0,439.0,424.0,459.0,474.0,463.0,485.0,465.0,482.0,449.0,473.0,491.0,458.0,444.0,468.0,495.0,353.0,399.0,487.0,482.0,468.0,470.0
B,484.0,446.0,486.0,471.0,380.0,472.0,356.0,452.0,406.0,394.0,455.0,450.0,386.0,440.0,406.0,443.0,459.0,425.0,439.0,451.0,451.0,466.0,488.0,491.0
C,424.0,401.0,424.0,421.0,366.0,403.0,435.0,424.0,445.0,398.0,453.0,434.0,452.0,454.0,438.0,482.0,404.0,417.0,474.0,434.0,437.0,387.0,425.0,484.0
D,424.0,400.0,471.0,475.0,447.0,433.0,450.0,426.0,434.0,434.0,424.0,454.0,438.0,420.0,418.0,440.0,431.0,422.0,328.0,431.0,486.0,418.0,479.0,436.0
E,320.0,411.0,374.0,391.0,368.0,437.0,366.0,420.0,457.0,423.0,443.0,431.0,451.0,446.0,443.0,423.0,442.0,447.0,409.0,410.0,471.0,434.0,382.0,440.0
F,414.0,360.0,440.0,461.0,450.0,437.0,457.0,426.0,438.0,456.0,382.0,380.0,478.0,420.0,402.0,464.0,442.0,385.0,396.0,428.0,433.0,450.0,445.0,422.0
G,446.0,485.0,443.0,431.0,390.0,475.0,428.0,427.0,466.0,419.0,430.0,461.0,400.0,388.0,465.0,394.0,439.0,471.0,409.0,422.0,459.0,465.0,390.0,481.0
H,460.0,462.0,385.0,430.0,485.0,432.0,448.0,433.0,415.0,455.0,441.0,448.0,397.0,475.0,375.0,457.0,474.0,424.0,447.0,455.0,388.0,479.0,397.0,495.0
I,438.0,421.0,450.0,407.0,393.0,446.0,370.0,442.0,409.0,395.0,403.0,431.0,413.0,431.0,441.0,479.0,349.0,478.0,402.0,416.0,397.0,454.0,425.0,459.0
J,466.0,453.0,447.0,403.0,446.0,449.0,371.0,430.0,438.0,401.0,401.0,449.0,422.0,381.0,384.0,462.0,449.0,449.0,451.0,416.0,407.0,416.0,377.0,410.0
K,390.0,430.0,438.0,441.0,369.0,395.0,442.0,409.0,441.0,418.0,341.0,499.0,415.0,453.0,416.0,444.0,347.0,418.0,348.0,352.0,455.0,419.0,401.0,465.0
L,430.0,417.0,402.0,401.0,451.0,442.0,404.0,454.0,396.0,401.0,417.0,422.0,372.0,358.0,460.0,418.0,427.0,438.0,430.0,429.0,436.0,383.0,439.0,420.0
M,400.0,416.0,395.0,432.0,427.0,401.0,336.0,398.0,466.0,420.0,372.0,418.0,189.0,380.0,413.0,420.0,364.0,386.0,248.0,400.0,390.0,436.0,462.0,437.0
N,457.0,474.0,412.0,412.0,400.0,408.0,321.0,345.0,375.0,399.0,412.0,424.0,397.0,404.0,492.0,420.0,430.0,425.0,399.0,421.0,405.0,458.0,465.0,430.0
O,325.0,408.0,400.0,403.0,444.0,415.0,420.0,407.0,441.0,427.0,456.0,441.0,433.0,429.0,400.0,408.0,451.0,417.0,435.0,406.0,457.0,447.0,451.0,463.0
P,395.0,413.0,405.0,487.0,472.0,476.0,437.0,401.0,485.0,417.0,471.0,411.0,422.0,430.0,437.0,387.0,453.0,435.0,433.0,397.0,411.0,419.0,404.0,432.0
Row,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,1352.38095238,1798.74213836,2645.93301435,2687.92710706,2875.0,2810.45751634,949.367088608,1174.94600432,1816.49484536,2518.27956989,2717.84232365,2775.05567929,2264.27061311,2533.60488798,2779.47598253,2804.05405405,2566.23931624,2517.17171717,2011.33144476,2729.32330827,2392.19712526,2589.21161826,2557.69230769,2546.80851064
B,1169.4214876,1639.01345291,2059.67078189,2558.38641189,2797.36842105,2527.54237288,1174.15730337,1559.73451327,2593.59605911,2794.41624365,2551.64835165,2497.77777778,1673.57512953,2115.90909091,2731.5270936,2681.71557562,2729.84749455,2851.76470588,1070.61503417,1532.15077605,2463.41463415,2553.64806867,2393.44262295,2498.98167006
C,1257.0754717,1932.66832918,2570.75471698,2672.20902613,3049.18032787,2977.6674938,1609.1954023,2379.71698113,2721.34831461,2871.85929648,2651.21412804,2684.33179724,1252.21238938,1724.66960352,2449.7716895,2547.71784232,2690.59405941,2652.27817746,1018.98734177,1133.640553,1594.96567506,2478.03617571,2541.17647059,2473.14049587
D,1332.54716981,1597.5,2125.26539278,2360.0,2442.95302013,2614.3187067,1162.22222222,1917.84037559,2433.1797235,2529.95391705,2570.75471698,2339.20704846,1102.73972603,1530.95238095,2277.51196172,2579.54545455,2645.01160093,2582.93838863,1969.51219512,2303.94431555,2218.10699588,2854.06698565,2359.08141962,2635.32110092
E,1425.0,2311.43552311,2879.67914439,2900.25575448,2815.2173913,2855.83524027,1808.7431694,2633.33333333,2608.31509847,2940.89834515,2503.38600451,2763.34106729,1363.63636364,1979.8206278,2548.53273138,2777.77777778,2773.75565611,2510.06711409,1288.50855746,1507.31707317,2163.48195329,2739.63133641,2549.7382199,2556.81818182
F,1567.63285024,2400.0,2447.72727273,2446.85466377,2497.77777778,2562.92906178,2706.7833698,2746.47887324,2477.16894977,2583.33333333,2633.5078534,2700.0,1633.89121339,2454.76190476,2619.40298507,2528.01724138,2513.57466063,2641.55844156,1762.62626263,2385.51401869,2434.18013857,2424.44444444,2492.13483146,2774.88151659
G,3876.68161435,2744.32989691,2943.56659142,2774.94199536,3251.28205128,2627.36842105,1214.95327103,1644.02810304,2306.86695279,2852.02863962,2979.06976744,2704.98915401,1630.0,2737.11340206,2703.22580645,3101.52284264,2833.71298405,2730.36093418,1772.61613692,2483.41232227,2671.02396514,2668.8172043,2971.79487179,2644.49064449
H,1108.69565217,1088.74458874,1353.24675325,1906.97674419,2340.20618557,2685.18518519,1323.66071429,1956.12009238,2510.84337349,2654.94505495,2541.95011338,2542.41071429,1607.05289673,2330.52631579,2701.33333333,2525.16411379,2525.3164557,2688.67924528,1961.96868009,2589.01098901,2672.68041237,2542.79749478,2687.65743073,2622.22222222
I,1150.68493151,1242.28028504,1273.33333333,2255.52825553,2735.36895674,2654.70852018,1700.0,2359.72850679,2608.80195599,3144.30379747,2779.15632754,2633.41067285,1285.71428571,1529.00232019,2140.58956916,2551.14822547,2974.21203438,2433.05439331,1703.9800995,2137.01923077,2632.2418136,2651.98237885,2590.58823529,2468.40958606
J,1515.02145923,2132.45033113,2427.29306488,2801.48883375,2522.42152466,2365.25612472,1086.25336927,1227.90697674,1490.86757991,2346.63341646,2638.40399002,2380.84632517,1689.57345972,2246.7191601,2572.91666667,2378.78787879,2200.4454343,2316.25835189,1117.51662971,1781.25,2353.80835381,2538.46153846,2612.73209549,2826.82926829
K,1310.25641026,1751.1627907,2356.16438356,2775.51020408,2777.77777778,2941.7721519,1488.68778281,2239.60880196,2609.97732426,2767.94258373,3199.41348974,2370.74148297,1763.85542169,2335.54083885,2913.46153846,2581.08108108,2639.76945245,2758.37320574,2836.20689655,2909.09090909,2437.36263736,2663.48448687,2790.52369077,2632.25806452
L,1230.23255814,1213.42925659,1373.13432836,2456.35910224,2492.23946785,2373.30316742,1715.34653465,2209.25110132,2515.15151515,2680.79800499,2683.45323741,2592.41706161,1897.84946237,2527.93296089,2456.52173913,2421.05263158,2564.4028103,2563.92694064,1397.6744186,1923.07692308,2495.41284404,2597.91122715,2446.46924829,2750.0
M,1852.5,2406.25,2807.59493671,2680.55555556,2735.36299766,2915.21197007,1922.61904762,2590.45226131,2431.3304721,2661.9047619,2720.43010753,2791.86602871,3190.47619048,2826.31578947,2445.52058111,2695.23809524,2741.75824176,2756.47668394,1810.48387097,2052.5,2294.87179487,2619.26605505,2445.88744589,2562.92906178
N,1050.32822757,1204.64135021,2092.23300971,2611.65048544,2402.5,2600.49019608,1517.13395639,1913.04347826,2352.0,2649.12280702,2672.33009709,2457.54716981,1312.34256927,2346.53465347,1908.53658537,2388.0952381,2448.8372093,2444.70588235,1568.92230576,2040.38004751,2686.41975309,2508.73362445,2333.33333333,2711.62790698
O,2040.0,2654.41176471,3085.0,2853.59801489,2614.86486486,2756.62650602,1292.85714286,2054.05405405,2523.80952381,2660.42154567,2638.15789474,2578.23129252,1286.37413395,1899.76689977,2610.0,2767.15686275,2441.24168514,2918.46522782,1616.09195402,2633.00492611,2516.41137856,2384.78747204,2363.63636364,2308.85529158
P,4807.59493671,4460.04842615,4533.33333333,3739.21971253,3838.98305085,3775.21008403,3965.67505721,4423.94014963,3694.84536082,4038.36930456,3938.42887473,4464.72019465,3950.23696682,4079.06976744,4128.14645309,4521.96382429,3732.89183223,3841.37931034,1187.0669746,1254.40806045,1099.756691,1093.07875895,1108.91089109,1194.44444444
